Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,19.060801,19.168150,18.964100,19.061100,19.061100,0
2018-07-10,19.177700,19.274250,18.990801,19.177700,19.177700,0
2018-07-11,19.002590,19.089479,18.896500,19.011900,19.011900,0
2018-07-12,19.058599,19.078230,18.752199,19.058599,19.058599,0
2018-07-13,18.968849,19.089960,18.854799,18.969690,18.969690,0
2018-07-16,18.889200,18.914351,18.764200,18.902010,18.902010,0
2018-07-17,18.833780,18.949551,18.799400,18.833000,18.833000,0
2018-07-18,18.877600,19.036350,18.861500,18.884800,18.884800,0
2018-07-19,18.889000,19.160151,18.871401,18.889400,18.889400,0
2018-07-20,19.020100,19.109030,18.909849,19.035530,19.035530,0
2018-07-23,19.007799,19.163481,18.999001,19.021061,19.021061,0
2018-07-24,18.902300,18.951630,18.787701,18.902399,18.902399,0
2018-07-25,18.845400,18.870680,18.698900,18.854700,18.854700,0
2018-07-26,18.656099,18.743561,18.579161,18.655199,18.655199,0
2018-07-27,18.632601,18.665730,18.521099,18.632401,18.632401,0
2018-07-30,18.618509,18.651951,18.484501,18.606701,18.606701,0
2018-07-31,18.527180,18.667250,18.500099,18.530581,18.530581,0
2018-08-01,18.653900,18.709740,18.562731,18.664890,18.664890,0
2018-08-02,18.589649,18.757700,18.578800,18.590099,18.590099,0
2018-08-03,18.646740,18.707041,18.538300,18.634001,18.634001,0
2018-08-06,18.558001,18.612301,18.495600,18.568649,18.568649,0
2018-08-07,18.516701,18.533751,18.393499,18.526590,18.526590,0
2018-08-08,18.451250,18.563950,18.402201,18.443300,18.443300,0
2018-08-09,18.458099,18.689030,18.427099,18.457600,18.457600,0
2018-08-10,18.721201,19.057650,18.683901,18.721500,18.721500,0
2018-08-13,19.090160,19.369850,19.025591,19.067699,19.067699,0
2018-08-14,19.138399,19.147499,18.846201,19.130699,19.130699,0
2018-08-15,18.891279,19.297800,18.849600,18.879801,18.879801,0
2018-08-16,19.179070,19.198351,18.922760,19.184000,19.184000,0
2018-08-17,18.992420,19.149660,18.941200,19.007500,19.007500,0
2018-08-20,18.878300,19.027870,18.844200,18.878201,18.878201,0
2018-08-21,19.003080,19.007441,18.848600,19.003540,19.003540,0
2018-08-22,18.935520,18.979731,18.737499,18.943769,18.943769,0
2018-08-23,18.765301,18.890560,18.725100,18.767349,18.767349,0
2018-08-24,19.010799,19.029751,18.781151,19.006201,19.006201,0
2018-08-27,18.765600,18.859949,18.607500,18.767599,18.767599,0
2018-08-28,18.798330,18.933630,18.702101,18.800150,18.800150,0
2018-08-29,19.045900,19.185770,19.001900,19.065950,19.065950,0
2018-08-30,18.925800,19.175591,18.923800,18.926300,18.926300,0
2018-08-31,19.098749,19.234871,19.046700,19.099840,19.099840,0
2018-09-03,19.096901,19.277380,19.096901,19.096901,19.096901,0
2018-09-04,19.185301,19.475550,19.177799,19.184601,19.184601,0
2018-09-05,19.368700,19.676840,19.343599,19.368099,19.368099,0
2018-09-06,19.347879,19.444889,19.188700,19.336901,19.336901,0
2018-09-07,19.219700,19.279949,19.112000,19.232531,19.232531,0
2018-09-10,19.314199,19.361549,19.245899,19.313900,19.313900,0
2018-09-11,19.274891,19.377640,19.162001,19.265699,19.265699,0
2018-09-12,19.192160,19.221451,19.014000,19.201820,19.201820,0
2018-09-13,19.026800,19.055050,18.816999,19.027100,19.027100,0
2018-09-14,18.828501,18.876369,18.761801,18.830099,18.830099,0
2018-09-17,18.880100,18.920580,18.794100,18.875000,18.875000,0
2018-09-18,18.920481,18.920481,18.725100,18.919540,18.919540,0
2018-09-19,18.788700,18.819330,18.684999,18.788300,18.788300,0
2018-09-20,18.756599,18.888571,18.701000,18.755699,18.755699,0
2018-09-21,18.835600,18.941450,18.819599,18.835899,18.835899,0
2018-09-24,18.833000,18.876329,18.804300,18.844170,18.844170,0
2018-09-25,18.955900,19.036421,18.916901,18.965870,18.965870,0
2018-09-26,18.975500,19.052561,18.862000,18.975300,18.975300,0
2018-09-27,18.857260,18.953220,18.745501,18.848980,18.848980,0
2018-09-28,18.787001,18.866800,18.676001,18.786600,18.786600,0
2018-10-01,18.658400,18.687599,18.496000,18.674419,18.674419,0
2018-10-02,18.709311,18.865950,18.690800,18.707899,18.707899,0
2018-10-03,18.800819,18.846340,18.709200,18.787100,18.787100,0
2018-10-04,19.034580,19.175680,18.964069,19.032499,19.032499,0
2018-10-05,19.115549,19.119511,18.867901,19.103100,19.103100,0
2018-10-08,18.765020,18.953470,18.737900,18.765190,18.765190,0
2018-10-09,18.939899,19.058580,18.902800,18.943359,18.943359,0
2018-10-10,18.994749,19.169590,18.962900,18.991659,18.991659,0
2018-10-11,19.151501,19.181629,18.987261,19.163771,19.163771,0
2018-10-12,18.964800,18.977131,18.831499,18.975969,18.975969,0
2018-10-15,18.867300,18.893379,18.777500,18.867001,18.867001,0
2018-10-16,18.830099,18.903070,18.728201,18.820101,18.820101,0
2018-10-17,18.752220,18.869070,18.740299,18.752090,18.752090,0
2018-10-18,18.866400,19.156799,18.836901,18.865601,18.865601,0
2018-10-19,19.151670,19.267900,19.072100,19.140499,19.140499,0
2018-10-22,19.278500,19.390360,19.213900,19.280199,19.280199,0
2018-10-23,19.404659,19.454241,19.340300,19.392500,19.392500,0
2018-10-24,19.290359,19.487000,19.246700,19.288971,19.288971,0
2018-10-25,19.583799,19.604610,19.388901,19.597570,19.597570,0
2018-10-26,19.488079,19.611490,19.421801,19.481770,19.481770,0
2018-10-29,19.371201,19.829531,19.351700,19.369801,19.369801,0
2018-10-30,20.064690,20.123249,19.893999,20.052900,20.052900,0
2018-10-31,20.074551,20.337490,20.054701,20.061600,20.061600,0
2018-11-01,20.303699,20.322029,20.032700,20.315090,20.315090,0
2018-11-02,20.176500,20.219500,19.890100,20.161800,20.161800,0
2018-11-05,20.011499,20.131849,19.916401,20.010500,20.010500,0
2018-11-06,19.868799,19.962259,19.811501,19.868601,19.868601,0
2018-11-07,19.706499,19.886250,19.566099,19.706600,19.706600,0
2018-11-08,19.863800,20.065340,19.808901,19.860399,19.860399,0
2018-11-09,20.164499,20.406050,20.135700,20.164301,20.164301,0
2018-11-12,20.100800,20.365900,20.071800,20.101101,20.101101,0
2018-11-13,20.355000,20.573549,20.254601,20.352819,20.352819,0
2018-11-14,20.464540,20.537979,20.311701,20.455500,20.455500,0
2018-11-15,20.389400,20.441151,20.257299,20.388700,20.388700,0
2018-11-16,20.246309,20.375830,20.147100,20.246590,20.246590,0
2018-11-19,20.140591,20.382549,20.108601,20.139900,20.139900,0
2018-11-20,20.367100,20.530300,20.313999,20.367901,20.367901,0
2018-11-21,20.376301,20.404270,20.156200,20.367399,20.367399,0
2018-11-22,20.254391,20.345600,20.188400,20.243799,20.243799,0
2018-11-23,20.291500,20.439301,20.280899,20.291500,20.291500,0
2018-11-26,20.392500,20.555651,20.334900,20.404200,20.404200,0
2018-11-27,20.589701,20.597750,20.391899,20.593700,20.593700,0
2018-11-28,20.456100,20.514050,20.358200,20.455400,20.455400,0
2018-11-29,20.272600,20.289600,20.153200,20.273600,20.273600,0
2018-11-30,20.233801,20.369110,20.217800,20.224800,20.224800,0
2018-12-03,20.157801,20.266569,19.999599,20.160700,20.160700,0
2018-12-04,20.334320,20.538000,20.222401,20.334150,20.334150,0
2018-12-05,20.500601,20.613750,20.403099,20.499399,20.499399,0
2018-12-06,20.523130,20.650110,20.409300,20.508200,20.508200,0
2018-12-07,20.343580,20.415819,20.162500,20.333599,20.333599,0
2018-12-10,20.284050,20.394850,20.188000,20.274200,20.274200,0
2018-12-11,20.304100,20.343399,20.167000,20.315100,20.315100,0
2018-12-12,20.168600,20.217760,19.981300,20.179319,20.179319,0
2018-12-13,20.059299,20.283630,20.050301,20.051901,20.051901,0
2018-12-14,20.271000,20.514839,20.260500,20.272699,20.272699,0
2018-12-17,20.140100,20.199860,20.055599,20.140100,20.140100,0
2018-12-18,20.062201,20.176640,20.027100,20.069700,20.069700,0
2018-12-19,20.056290,20.147680,19.972500,20.056240,20.056240,0
2018-12-20,20.085199,20.141769,19.803600,20.085199,20.085199,0
2018-12-21,19.880409,19.998100,19.842070,19.868151,19.868151,0
2018-12-24,19.907900,19.925341,19.813299,19.920771,19.920771,0
2018-12-25,19.860300,19.909100,19.849991,19.860399,19.860399,0
2018-12-26,19.949890,19.963350,19.839399,19.957729,19.957729,0
2018-12-27,19.893700,19.944250,19.625299,19.893299,19.893299,0
2018-12-28,19.693451,19.740749,19.599400,19.682400,19.682400,0
2018-12-31,19.643780,19.700800,19.611300,19.645370,19.645370,0
2019-01-01,19.634100,19.639999,19.632999,19.633699,19.633699,0
2019-01-02,19.629299,19.715839,19.554701,19.628300,19.628300,0
2019-01-03,19.613501,19.666540,19.555000,19.607700,19.607700,0
2019-01-04,19.615801,19.660410,19.435499,19.604500,19.604500,0
2019-01-07,19.381100,19.468281,19.283400,19.381901,19.381901,0
2019-01-08,19.353600,19.432020,19.281500,19.364620,19.364620,0
2019-01-09,19.336000,19.373180,19.201651,19.327900,19.327900,0
2019-01-10,19.219450,19.265091,19.119400,19.205900,19.205900,0
2019-01-11,19.124849,19.178431,19.046301,19.130751,19.130751,0
2019-01-14,19.140039,19.200899,18.999001,19.138901,19.138901,0
2019-01-15,18.986019,19.082951,18.938700,18.973600,18.973600,0
2019-01-16,18.956600,19.049450,18.943899,18.971519,18.971519,0
2019-01-17,18.872299,19.110201,18.865200,18.881100,18.881100,0
2019-01-18,18.996099,19.123699,18.961000,18.995399,18.995399,0
2019-01-21,19.092899,19.199280,19.075899,19.088699,19.088699,0
2019-01-22,19.156771,19.236771,19.112600,19.147200,19.147200,0
2019-01-23,19.164400,19.165230,19.057600,19.152399,19.152399,0
2019-01-24,19.021500,19.082720,18.943600,19.022499,19.022499,0
2019-01-25,19.012199,19.027960,18.873400,19.013300,19.013300,0
2019-01-28,18.989719,19.077450,18.952999,18.988850,18.988850,0
2019-01-29,19.025900,19.057650,18.966200,19.037550,19.037550,0
2019-01-30,19.080500,19.199060,19.042500,19.090860,19.090860,0
2019-01-31,19.103750,19.154449,18.976999,19.105280,19.105280,0
2019-02-01,19.100620,19.181650,19.063789,19.093100,19.093100,0
2019-02-04,19.096849,19.173849,19.010900,19.087000,19.087000,0
2019-02-05,19.105850,19.126051,19.008499,19.095100,19.095100,0
2019-02-06,19.036671,19.165180,19.022600,19.024401,19.024401,0
2019-02-07,19.106100,19.182140,19.034100,19.109200,19.109200,0
2019-02-08,19.074249,19.130970,19.010500,19.074181,19.074181,0
2019-02-11,19.062000,19.283501,19.060200,19.072371,19.072371,0
2019-02-12,19.286699,19.309820,19.204201,19.288401,19.288401,0
2019-02-13,19.245199,19.444401,19.201000,19.242701,19.242701,0
2019-02-14,19.414600,19.464399,19.340090,19.413799,19.413799,0
2019-02-15,19.244600,19.413851,19.201599,19.258459,19.258459,0
2019-02-18,19.250200,19.278900,19.188499,19.261129,19.261129,0
2019-02-19,19.240999,19.294050,19.159201,19.243200,19.243200,0
2019-02-20,19.151670,19.229530,19.120199,19.141100,19.141100,0
2019-02-21,19.206100,19.284241,19.160801,19.218170,19.218170,0
2019-02-22,19.285130,19.299009,19.115700,19.274200,19.274200,0
2019-02-25,19.128901,19.146351,19.017599,19.128599,19.128599,0
2019-02-26,19.120199,19.207569,19.092501,19.121000,19.121000,0
2019-02-27,19.184120,19.253969,19.133900,19.185011,19.185011,0
2019-02-28,19.166389,19.277210,19.142099,19.164490,19.164490,0
2019-03-01,19.274349,19.333500,19.241989,19.262699,19.262699,0
2019-03-04,19.275351,19.379801,19.259701,19.265200,19.265200,0
2019-03-05,19.282101,19.320240,19.210581,19.293421,19.293421,0
2019-03-06,19.258301,19.395510,19.234699,19.257401,19.257401,0
2019-03-07,19.350599,19.585649,19.319799,19.349199,19.349199,0
2019-03-08,19.552799,19.599791,19.462500,19.552799,19.552799,0
2019-03-11,19.496250,19.516230,19.378000,19.483200,19.483200,0
2019-03-12,19.380699,19.413010,19.238001,19.391270,19.391270,0
2019-03-13,19.343370,19.359800,19.256001,19.330400,19.330400,0
2019-03-14,19.291901,19.366631,19.269899,19.290051,19.290051,0
2019-03-15,19.300301,19.313999,19.193199,19.298599,19.298599,0
2019-03-18,19.215950,19.224350,19.090799,19.203400,19.203400,0
2019-03-19,19.045500,19.074600,18.976900,19.056379,19.056379,0
2019-03-20,18.996099,19.028740,18.886000,18.994499,18.994499,0
2019-03-21,18.799101,18.868099,18.766800,18.799000,18.799000,0
2019-03-22,18.851000,19.163031,18.829000,18.850000,18.850000,0
2019-03-25,19.105200,19.151100,18.983400,19.116650,19.116650,0
2019-03-26,19.027500,19.115000,18.985600,19.015600,19.015600,0
2019-03-27,19.099630,19.368999,19.088800,19.088100,19.088100,0
2019-03-28,19.357901,19.438560,19.329100,19.363850,19.363850,0
2019-03-29,19.356750,19.408239,19.267200,19.345301,19.345301,0
2019-04-01,19.339649,19.374599,19.196501,19.329399,19.329399,0
2019-04-02,19.159599,19.242451,19.069901,19.159300,19.159300,0
2019-04-03,19.216000,19.222639,19.100700,19.216101,19.216101,0
2019-04-04,19.209999,19.278090,19.149000,19.217670,19.217670,0
2019-04-05,19.150101,19.160740,19.036600,19.146799,19.146799,0
2019-04-08,19.058399,19.123301,18.941799,19.061300,19.061300,0
2019-04-09,18.971201,18.982149,18.880600,18.983900,18.983900,0
2019-04-10,18.910999,18.941019,18.810600,18.913820,18.913820,0
2019-04-11,18.805000,18.913349,18.795601,18.806400,18.806400,0
2019-04-12,18.829849,18.857901,18.739799,18.816900,18.816900,0
2019-04-15,18.757160,18.879351,18.736300,18.757580,18.757580,0
